7,8,9,14,16,20,23,29,31,32|12,15,16
1,8,13,16,18,19,23,28,30,3211,13,16
2,3,6,7,8,10,14,27,28,31|5,14,16
4,17,18,20,24,27,28,29,30,32|12,14,16
3,10,13,14,16,18,20,23,27,33|5,6,10
6,7,9,14,20,23,24,27,29,32|3,11,16
2,11,12,19,20,21,23,25,26,29|4,6,9
3,4,5,9,15,18,21,28,31,32|2,4,6
6,11,15,20,22,24,27,28,29,33|12,13,15
1,3,10,13,14,21,22,23,29,33|1,14,15
7,10,17,19,21,23,24,26,27,30|5,9,12
1,2,7,8,11,15,18,25,29,32|3,12,16
3,4,8,12,14,17,22,26,29,31|6,7,12
8,10,11,19,23,25,26,29,30,31|3,4,14
3,4,6,7,9,11,18,20,21,25|4,9,15
1,2,3,4,7,13,23,25,29,32|8,11,15
5,6,15,16,19,20,25,26,29,30|5,12,13
4,7,8,11,15,18,19,20,25,29|2,12,14
1,3,7,9,11,13,18,25,27,28|7,13,16
1,5,8,12,19,22,23,24,27,33|6,14,16
