1,8,16,19,22,23|1
1,8,16,19,22,25|2
1,8,16,19,22,26|2
1,8,16,19,22,27|2
1,8,16,19,22,29|2
2,13,16,23,25,31|1
2,13,16,23,25,33|2
2,3,14,16,23,25|2
8,15,18,19,24,26|2
8,15,18,19,24,27|2
1,8,16,19,22,30|2
1,8,16,19,22,31|2
8,15,18,19,24,29|1
6,8,20,25,26,28|2
6,8,20,25,26,29|2
3,10,17,18,26,27|1
2,4,6,9,25,27|1
4,7,16,27,29,30|2
4,7,16,27,29,31|2
2,4,6,9,25,30|2
13,14,16,25,30,31|2
1,3,4,23,25,30|1
1,8,13,24,26,29|2
4,11,20,24,25,29|2
1,3,4,23,25,32|1
1,3,4,23,25,33|1
2,3,13,22,27,28|1
2,3,13,22,27,29|1
3,10,17,18,26,31|1
3,10,17,18,26,32|1
4,11,20,24,25,30|1
16,17,22,27,28,30|2
7,9,14,17,21,24|2
16,17,22,27,28,31|2
2,3,14,16,23,28|1
1,3,4,23,25,28|1
1,11,14,17,30,32|1
1,3,4,23,25,29|1
1,11,14,17,30,33|1
2,3,14,16,23,32|2
12,14,15,22,28,32|2
8,15,18,19,24,30|2
12,14,15,22,28,33|2
1,5,18,25,31,32|2
3,12,16,19,20,25|1
3,12,16,19,20,26|1
1,4,14,23,28,30|2
3,12,16,19,20,29|1
1,4,14,23,28,31|2
2,8,10,17,24,27|2
3,12,16,19,20,30|1
4,5,14,18,20,24|2
3,12,16,19,20,31|1
2,13,25,27,31,33|2
12,14,15,22,28,29|2
5,7,11,20,28,30|2
2,8,10,17,24,26|1
3,9,13,14,25,26|2
4,6,20,23,29,33|2
3,9,13,14,25,27|1
3,9,13,14,25,28|1
3,9,13,14,25,29|2
1,17,23,25,27,28|1
1,17,23,25,27,29|1
4,6,20,23,29,30|2
5,7,11,20,28,29|2
3,9,13,14,25,31|2
2,10,12,13,25,32|1
9,12,16,19,29,33|1
2,5,6,8,15,28|2
2,5,6,8,15,29|2
2,5,6,8,15,20|2
2,5,6,8,15,21|2
2,5,6,8,15,22|1
10,11,14,18,19,30|1
9,12,16,19,29,31|1
10,11,14,18,19,31|2
10,11,14,18,19,32|1
10,11,14,18,19,33|1
1,13,14,25,27,28|1
1,13,14,25,27,29|1
10,11,14,18,19,29|2
5,11,17,20,29,30|1
5,11,17,20,29,31|2
5,11,17,20,29,32|2
2,13,25,27,31,32|2
5,11,17,20,29,33|1
3,6,23,29,31,32|2
3,6,23,29,31,33|2
4,5,14,18,20,33|2
6,16,17,20,28,29|2
1,13,14,25,27,30|2
1,13,14,25,27,31|2
1,4,5,26,29,32|1
1,13,14,25,27,32|2
1,13,14,25,27,33|2
10,11,14,18,19,21|2
10,11,14,18,19,22|2
10,11,14,18,19,23|2
10,11,14,18,19,24|1
10,11,14,18,19,25|1
10,11,14,18,19,26|2
10,11,14,18,19,27|2
4,6,10,12,20,29|2
4,10,18,22,28,31|1
4,10,18,22,28,32|1
4,10,18,22,28,33|2
2,5,9,10,18,20|2
4,6,10,12,20,23|2
4,6,10,12,20,25|2
3,14,16,19,24,25|1
2,6,7,9,15,19|2
3,14,16,19,24,26|1
3,14,16,19,24,27|1
3,14,16,19,24,29|1
2,5,9,10,18,19|2
1,7,12,17,19,22|1
1,7,12,17,19,23|1
9,15,16,27,30,33|1
5,10,13,17,26,27|2
4,10,17,23,30,32|1
5,10,13,17,26,29|1
1,7,12,17,19,26|1
4,10,17,23,30,33|1
