3,10,19,30,31,32|10
3,10,19,30,31,33|10
3,10,19,27,30,32|5
3,10,19,27,31,32|5
3,10,19,27,32,33|5
3,10,19,27,30,33|5
10,19,27,30,31,32|5
10,19,27,31,32,33|5
10,19,27,30,31,33|5
10,19,27,30,32,33|5
3,5,9,11,17,29|9
4,5,14,17,25,31|9
3,10,11,12,23,30|9
2,7,10,13,20,26|9
4,5,9,11,12,24|9
3,9,11,18,24,28|9
2,5,17,20,31,32|9
7,13,17,18,27,31|1
6,8,11,15,17,25,29|11
1,10,12,13,19,22|16
4,7,12,18,20,30|10
5,12,15,19,28,32|7
1,5,11,15,28,33|11
6,9,11,12,18,27|12
8,12,13,17,21,33|11
1,8,17,22,25,30|12
3,9,12,19,22,26|14
9,10,11,12,22,26|8
1,12,22,24,26,29|12
1,3,17,18,21,22|14
1,10,15,16,23,28|5
1,5,18,26,28,33|16
1,17,20,22,24,32|14
2,3,5,14,19,30|6
1,2,3,10,12,19|16
11,13,20,25,26,30|3
6,7,18,19,20,24|12
6,15,16,24,25,30|5
2,3,4,10,14,32|1
8,10,11,14,17,29|15
15,21,24,26,27,33|12
6,13,19,22,24,23,25|4,9,15
3,9,12,14,23,25|8
3,9,11,15,28,30|16
3,5,11,19,23,28|1
3,6,11,17,27,32|6
6,8,11,17,19,27|7
1,10,12,19,27,32|12
5,11,16,22,30,32|10
5,11,16,25,30,32|12
5,8,16,22,30,32|9
5,8,16,25,30,32|11
2,12,16,22,25,32|5
8,9,10,13,15,28|8
4,16,22,25,29,31|5
4,5,7,9,16,18|8
12,20,24,25,30,33|5
2,10,15,22,26,33|8
10,11,20,22,30,33|8
3,13,14,23,25,30|11
3,4,10,14,23,25|1
2,3,14,17,23,27|11
2,10,16,18,24,29|2
9,17,23,25,27,32|2
2,5,12,15,19,33|14
3,7,8,24,25,26|15
2,6,7,17,25,33|6
1,4,5,11,20,21|12
14,18,19,20,22,28|15
7,8,10,20,28,31|11
2,4,5,11,19,24|4
3,11,12,22,24,29|8
8,10,12,14,17,24|6
8,11,12,18,22,25|9
6,9,11,16,28,33|14
4,9,10,16,28,33|9
6,15,19,23,25,31|10
1,6,8,9,12,15|8
5,8,10,12,22,29|1
3,6,10,16,19,32|5
3,5,10,19,22,25|16
8,10,12,14,18,30|15
6,8,9,15,21,33|14
9,13,16,17,20,22|8,14
6,10,14,24,26,29|14
1,2,6,10,12,24|15
1,6,10,12,24,27|16
